applicant_id,decision,confidence,policy_allowed,policy_reason
1,APPROVE,0.949537,True,All features present in approved set; no protected attributes detected.
2,DENY,0.423128,True,All features present in approved set; no protected attributes detected.
3,APPROVE,0.58202,True,All features present in approved set; no protected attributes detected.
4,APPROVE,0.971837,True,All features present in approved set; no protected attributes detected.
5,DENY,0.329472,True,All features present in approved set; no protected attributes detected.
6,APPROVE,0.967846,True,All features present in approved set; no protected attributes detected.
7,APPROVE,0.894484,True,All features present in approved set; no protected attributes detected.
8,DENY,0.148816,True,All features present in approved set; no protected attributes detected.
9,DENY,0.236243,True,All features present in approved set; no protected attributes detected.
10,DENY,0.026674,True,All features present in approved set; no protected attributes detected.
11,DENY,0.10234,True,All features present in approved set; no protected attributes detected.
12,APPROVE,0.656904,True,All features present in approved set; no protected attributes detected.
13,APPROVE,0.537999,True,All features present in approved set; no protected attributes detected.
14,DENY,0.187914,True,All features present in approved set; no protected attributes detected.
15,DENY,0.029103,True,All features present in approved set; no protected attributes detected.
16,DENY,0.239557,True,All features present in approved set; no protected attributes detected.
17,APPROVE,0.910451,True,All features present in approved set; no protected attributes detected.
18,DENY,0.023894,True,All features present in approved set; no protected attributes detected.
19,APPROVE,0.773408,True,All features present in approved set; no protected attributes detected.
20,APPROVE,0.900451,True,All features present in approved set; no protected attributes detected.
21,APPROVE,0.975838,True,All features present in approved set; no protected attributes detected.
22,APPROVE,0.879957,True,All features present in approved set; no protected attributes detected.
23,APPROVE,0.730475,True,All features present in approved set; no protected attributes detected.
24,APPROVE,0.953266,True,All features present in approved set; no protected attributes detected.
25,APPROVE,0.816253,True,All features present in approved set; no protected attributes detected.
26,DENY,0.038623,True,All features present in approved set; no protected attributes detected.
27,APPROVE,0.833136,True,All features present in approved set; no protected attributes detected.
28,DENY,0.189779,True,All features present in approved set; no protected attributes detected.
29,DENY,0.01118,True,All features present in approved set; no protected attributes detected.
30,APPROVE,0.942957,True,All features present in approved set; no protected attributes detected.
31,DENY,0.081527,True,All features present in approved set; no protected attributes detected.
32,APPROVE,0.689309,True,All features present in approved set; no protected attributes detected.
33,APPROVE,0.775409,True,All features present in approved set; no protected attributes detected.
34,DENY,0.097639,True,All features present in approved set; no protected attributes detected.
35,DENY,0.181435,True,All features present in approved set; no protected attributes detected.
36,DENY,0.02999,True,All features present in approved set; no protected attributes detected.
37,DENY,0.059959,True,All features present in approved set; no protected attributes detected.
38,APPROVE,0.924096,True,All features present in approved set; no protected attributes detected.
39,DENY,0.034005,True,All features present in approved set; no protected attributes detected.
40,APPROVE,0.871316,True,All features present in approved set; no protected attributes detected.
41,DENY,0.320611,True,All features present in approved set; no protected attributes detected.
42,APPROVE,0.713575,True,All features present in approved set; no protected attributes detected.
43,DENY,0.171335,True,All features present in approved set; no protected attributes detected.
44,DENY,0.30377,True,All features present in approved set; no protected attributes detected.
45,APPROVE,0.983341,True,All features present in approved set; no protected attributes detected.
46,APPROVE,0.997666,True,All features present in approved set; no protected attributes detected.
47,DENY,0.244541,True,All features present in approved set; no protected attributes detected.
